Avl, B, Rubro
797094, 3484522, 1913300
800256, 3498800, 1921238
803497, 3513172, 1929127
806701, 3527343, 1937245
810056, 3541741, 1945027
813257, 3556091, 1953112
816537, 3570507, 1961020
819802, 3584784, 1969049
823075, 3599146, 1977038
826377, 3613327, 1985106
829723, 3627825, 1993134
833006, 3642333, 2001210
836285, 3656812, 2009199
839576, 3671219, 2017423
842874, 3685826, 2025518
846181, 3700424, 2033589
849515, 3715003, 2041680
852910, 3729791, 2049758
856309, 3744410, 2057852
859603, 3759166, 2065985
863013, 3773791, 2073981
866387, 3788382, 2082131
869745, 3803121, 2090339
873165, 3818044, 2098728
876530, 3832966, 2107036
879993, 3847752, 2115291
883424, 3862795, 2123769
886862, 3877561, 2132083
890357, 3892606, 2140313
893756, 3907650, 2148601
897170, 3922687, 2156998
900634, 3937956, 2165306
904026, 3953035, 2173760
907501, 3968167, 2182128
910983, 3983450, 2190572
914485, 3998799, 2199111
917954, 4014045, 2207531
921430, 4029255, 2215907
924932, 4044460, 2224330
928432, 4059771, 2232763
932028, 4075207, 2241159
935478, 4090574, 2249778
939012, 4105974, 2258327
942522, 4121495, 2266920
946020, 4137033, 2275487
949531, 4152489, 2284114
953063, 4168108, 2292714
956635, 4183784, 2301320
960106, 4199526, 2310109
963748, 4215053, 2318719
967390, 4230888, 2327306
970950, 4246674, 2335891
974519, 4262357, 2344677
978103, 4278120, 2353492
981761, 4294148, 2362235
985402, 4309855, 2371013
989014, 4325795, 2379721
992595, 4341823, 2388508
996279, 4357729, 2397278
999931, 4373773, 2406241
1003581, 4389794, 2415164
1007262, 4405817, 2424006
1010941, 4421714, 2432842
1014549, 4437937, 2441821
1018234, 4454085, 2450752
1021998, 4470063, 2459705
1025722, 4486104, 2468721
1029348, 4502227, 2477807
1033061, 4518487, 2486923
1036766, 4534869, 2495974
1040492, 4551187, 2505078
1044142, 4567575, 2514156
1047846, 4583857, 2523251
1051551, 4600332, 2532255
1055205, 4616639, 2541349
1058914, 4632974, 2550636
1062648, 4649428, 2559991
1066418, 4666045, 2569121
1070235, 4682534, 2578257
1074028, 4699088, 2587353
1077861, 4715764, 2596415
1081686, 4732409, 2605683
1085397, 4749091, 2614904
1089174, 4765708, 2624276
1092968, 4782556, 2633627
1096847, 4799367, 2642818
1100655, 4816359, 2652047
1104419, 4833061, 2661403
1108298, 4849885, 2670803
1112139, 4866924, 2680168
1116022, 4883846, 2689567
1119824, 4900730, 2699050
1123733, 4917656, 2708444
1127664, 4934541, 2717741
1131479, 4951707, 2727353
1135400, 4968773, 2736934
1139292, 4985950, 2746391
1143209, 5003333, 2755943
1147172, 5020793, 2765433
1151057, 5037982, 2775028
1154968, 5055230, 2784781
1158958, 5072600, 2794383
1162889, 5089842, 2804098
1166915, 5107147, 2813690
1170958, 5124563, 2823142
1174952, 5142084, 2832832
1178863, 5159574, 2842467
1182844, 5176992, 2852201
1186850, 5194446, 2861908
1190824, 5212016, 2871696
1194811, 5229473, 2881350
1198840, 5247021, 2890914
1202802, 5264795, 2900927
1206875, 5282450, 2910897
1210863, 5300148, 2920603
1214926, 5317973, 2930429
1219002, 5335893, 2940358
1223081, 5353677, 2950281
1227158, 5371455, 2960185
1231251, 5389330, 2969950
1235299, 5407070, 2979807
