Avl, B, Rubro
1561, 12115, 11002 
1564, 12180, 11035 
1571, 12207, 11069 
1574, 12235, 11102 
1578, 12264, 11137 
1581, 12296, 11170 
1586, 12342, 11204 
1589, 12369, 11237 
1593, 12397, 11273 
1596, 12426, 11306 
1602, 12458, 11340 
1605, 12505, 11373 
1609, 12532, 11408 
1612, 12560, 11441 
1617, 12589, 11475 
1620, 12621, 11508 
1624, 12669, 11546 
1627, 12697, 11579 
1635, 12726, 11613 
1638, 12756, 11646 
1642, 12789, 11681 
1645, 12840, 11714 
1650, 12868, 11748 
1653, 12897, 11781 
1657, 12927, 11817 
1660, 12960, 11850 
1666, 13026, 11884 
1669, 13053, 11917 
1673, 13081, 11952 
1676, 13110, 11985 
1681, 13142, 12019 
1684, 13188, 12052 
1688, 13215, 12089 
1691, 13243, 12122 
1698, 13272, 12156 
1701, 13304, 12189 
1705, 13351, 12224 
1708, 13378, 12257 
1713, 13406, 12291 
1716, 13435, 12324 
1720, 13467, 12360 
1723, 13515, 12393 
1729, 13543, 12427 
1732, 13572, 12460 
1736, 13602, 12495 
1739, 13635, 12528 
1744, 13686, 12562 
1747, 13714, 12595 
1751, 13743, 12634 
1754, 13773, 12667 
1763, 13806, 12701 
1766, 13873, 12734 
1770, 13901, 12769 
1773, 13930, 12802 
1778, 13960, 12836 
1781, 13993, 12869 
1785, 14040, 12905 
1788, 14068, 12938 
1794, 14097, 12972 
1797, 14127, 13005 
1801, 14160, 13040 
1804, 14208, 13073 
1809, 14236, 13107 
1812, 14265, 13140 
1816, 14295, 13177 
1819, 14328, 13210 
1826, 14377, 13244 
1829, 14406, 13277 
1833, 14436, 13312 
1836, 14467, 13345 
1841, 14501, 13379 
1844, 14553, 13412 
1848, 14582, 13448 
1851, 14612, 13481 
1857, 14643, 13515 
1860, 14677, 13548 
1864, 14747, 13583 
1867, 14775, 13616 
1872, 14804, 13650 
1875, 14834, 13683 
1879, 14867, 13721 
1882, 14914, 13754 
1890, 14942, 13788 
1893, 14971, 13821 
1897, 15001, 13856 
1900, 15034, 13889 
1905, 15082, 13923 
1908, 15110, 13956 
1912, 15139, 13992 
1915, 15169, 14025 
1921, 15202, 14059 
1924, 15251, 14092 
1928, 15280, 14127 
1931, 15310, 14160 
1936, 15341, 14194 
1939, 15375, 14227 
1943, 15427, 14264 
1946, 15456, 14297 
1953, 15486, 14331 
1956, 15517, 14364 
1960, 15551, 14399 
1963, 15632, 14432 
1968, 15660, 14466 
1971, 15689, 14499 
1975, 15719, 14535 
1978, 15752, 14568 
1984, 15799, 14602 
1987, 15827, 14635 
1991, 15856, 14670 
1994, 15886, 14703 
1999, 15919, 14737 
2002, 15967, 14770 
2006, 15995, 14808 
2009, 16024, 14843 
2018, 16054, 14879 
2021, 16087, 14914 
2025, 16136, 14951 
2028, 16165, 14986 
2033, 16195, 15022 
2036, 16226, 15057 
2040, 16260, 15095 
2043, 16312, 15130 
2049, 16341, 15166 
2052, 16371, 15201 
2056, 16402, 15238 
2059, 16436, 15273 
2064, 16502, 15309 
2067, 16530, 15344 
2071, 16559, 15383 
2074, 16589, 15418 
2081, 16622, 15454 
2084, 16669, 15489 
2088, 16697, 15526 
2091, 16726, 15561 
2096, 16756, 15597 
2099, 16789, 15632 
2103, 16837, 15670 
2106, 16865, 15705 
2112, 16894, 15741 
2115, 16924, 15776 
2119, 16957, 15813 
2122, 17006, 15848 
2127, 17035, 15884 
2130, 17065, 15919 
2134, 17096, 15959 
2137, 17130, 15994 
2145, 17182, 16030 
2148, 17211, 16065 
2152, 17241, 16102 
2155, 17272, 16137 
2160, 17306, 16173 
2163, 17373, 16208 
2167, 17401, 16246 
2170, 17430, 16281 
2176, 17460, 16317 
2179, 17493, 16352 
2183, 17540, 16389 
2186, 17568, 16424 
2191, 17597, 16460 
2194, 17627, 16495 
2198, 17660, 16534 
2201, 17708, 16569 
2208, 17736, 16605 
2211, 17765, 16640 
2215, 17795, 16677 
2218, 17828, 16712 
2223, 17877, 16748 
2226, 17906, 16783 
2230, 17936, 16821 
2233, 17967, 16856 
2239, 18001, 16892 
2242, 18053, 16927 
2246, 18082, 16964 
2249, 18112, 16999 
2254, 18143, 17035 
2257, 18177, 17070 
2261, 18245, 17111 
2264, 18274, 17146 
2273, 18304, 17182 
2276, 18335, 17217 
2280, 18369, 17254 
2283, 18417, 17289 
2288, 18446, 17325 
2291, 18476, 17360 
2295, 18507, 17398 
2298, 18541, 17433 
2304, 18590, 17469 
2307, 18619, 17504 
2311, 18649, 17541 
2314, 18680, 17576 
2319, 18714, 17612 
2322, 18764, 17647 
2326, 18794, 17686 
2329, 18825, 17721 
2336, 18857, 17757 
2339, 18892, 17792 
2343, 18945, 17829 
2346, 18975, 17864 
2351, 19006, 17900 
2354, 19038, 17935 
2358, 19073, 17973 
2361, 19144, 18008 
2367, 19173, 18044 
2370, 19203, 18079 
2374, 19234, 18116 
2377, 19268, 18151 
2382, 19316, 18187 
2385, 19345, 18222 
2389, 19375, 18262 
2392, 19406, 18297 
2400, 19440, 18333 
